turno,voto_nome,escola,voto_qtd,percentual_votos
1,Geraldo Alckmin,Koei Arakaki,79,2.333825701624815
1,Geraldo Alckmin,Pedro Malavazzi,189,5.583456425406204
1,Geraldo Alckmin,Saturnino,264,7.799113737075332
1,Geraldo Alckmin,Sesi,198,5.849335302806499
1,Geraldo Alckmin,Tanuri,202,5.967503692762186
1,Guilherme Boulos,Andreo,9,9.89010989010989
1,Guilherme Boulos,Barbosa Lima,4,4.395604395604396
1,Guilherme Boulos,Barozi,6,6.593406593406594
1,Guilherme Boulos,Belucio,3,3.296703296703297
1,Guilherme Boulos,Brasitânia,1,1.098901098901099
1,Guilherme Boulos,Cafaro,5,5.4945054945054945
1,Guilherme Boulos,Coronel,6,6.593406593406594
1,Guilherme Boulos,EELAS,1,1.098901098901099
1,Guilherme Boulos,ETEC,8,8.791208791208792
1,Guilherme Boulos,Ferrari,7,7.6923076923076925
1,Guilherme Boulos,Ivonete,5,5.4945054945054945
1,Guilherme Boulos,JAP,10,10.989010989010989
1,Guilherme Boulos,Pedro Malavazzi,3,3.296703296703297
1,Guilherme Boulos,Saturnino,7,7.6923076923076925
1,Guilherme Boulos,Sesi,11,12.087912087912088
1,Guilherme Boulos,Tanuri,5,5.4945054945054945
1,Henrique Meirelles,Andreo,22,7.508532423208192
1,Henrique Meirelles,Barbosa Lima,12,4.09556313993174
1,Henrique Meirelles,Barozi,21,7.167235494880546
1,Henrique Meirelles,Belucio,20,6.825938566552901
1,Henrique Meirelles,Brasitânia,3,1.023890784982935
1,Henrique Meirelles,Cafaro,18,6.143344709897611
1,Henrique Meirelles,Coronel,14,4.778156996587031
1,Henrique Meirelles,EELAS,11,3.754266211604096
1,Henrique Meirelles,ETEC,15,5.1194539249146755
1,Henrique Meirelles,Ferrari,23,7.849829351535837
1,Henrique Meirelles,Ivonete,21,7.167235494880546
1,Henrique Meirelles,JAP,25,8.532423208191126
1,Henrique Meirelles,Koei Arakaki,8,2.7303754266211606
1,Henrique Meirelles,Pedro Malavazzi,19,6.484641638225256
1,Henrique Meirelles,Saturnino,22,7.508532423208192
1,Henrique Meirelles,Sesi,15,5.1194539249146755
1,Henrique Meirelles,Tanuri,24,8.19112627986348
1,Jair Bolsonaro,Andreo,1178,5.613800991231415
1,Jair Bolsonaro,Barbosa Lima,813,3.874380480365993
1,Jair Bolsonaro,Barozi,1452,6.919557758292032
1,Jair Bolsonaro,Belucio,1098,5.232558139534884
1,Jair Bolsonaro,Brasitânia,246,1.172321768966832
1,Jair Bolsonaro,Cafaro,1679,8.001334349980937
1,Jair Bolsonaro,Coronel,1869,8.906786122760197
1,Jair Bolsonaro,EELAS,1258,5.995043842927945
1,Jair Bolsonaro,ETEC,1195,5.694815097216927
1,Jair Bolsonaro,Ferrari,1246,5.9378574151734655
1,Jair Bolsonaro,Ivonete,1588,7.567670606176134
1,Jair Bolsonaro,JAP,1963,9.354746473503623
1,Jair Bolsonaro,Koei Arakaki,338,1.6107510484178422
1,Jair Bolsonaro,Pedro Malavazzi,990,4.717880289744567
1,Jair Bolsonaro,Saturnino,1607,7.65821578345406
1,Jair Bolsonaro,Sesi,1448,6.9004956157072055
1,Jair Bolsonaro,Tanuri,1016,4.84178421654594
1,João Amoêdo,Andreo,75,5.353319057815846
1,João Amoêdo,Barbosa Lima,37,2.6409707351891507
1,João Amoêdo,Barozi,100,7.137758743754461
1,João Amoêdo,Belucio,70,4.996431120628123
1,João Amoêdo,Brasitânia,15,1.070663811563169
1,João Amoêdo,Cafaro,116,8.279800142755175
1,João Amoêdo,Coronel,203,14.489650249821556
1,João Amoêdo,EELAS,63,4.496788008565311
1,João Amoêdo,ETEC,62,4.425410421127766
1,João Amoêdo,Ferrari,55,3.9257673090649536
1,João Amoêdo,Ivonete,85,6.067094932191292
1,João Amoêdo,JAP,143,10.20699500356888
1,João Amoêdo,Koei Arakaki,29,2.0699500356887937
1,João Amoêdo,Pedro Malavazzi,49,3.4975017844396863
1,João Amoêdo,Saturnino,109,7.780157030692362
1,João Amoêdo,Sesi,118,8.422555317630264
1,João Amoêdo,Tanuri,72,5.139186295503212
1,João Goulart Filho,Andreo,1,20.0
1,João Goulart Filho,Barbosa Lima,1,20.0
1,João Goulart Filho,Barozi,1,20.0
1,João Goulart Filho,Coronel,1,20.0
1,João Goulart Filho,JAP,1,20.0
1,Marina Silva,Andreo,19,11.11111111111111
1,Marina Silva,Barbosa Lima,8,4.678362573099415
1,Marina Silva,Barozi,6,3.508771929824561
1,Marina Silva,Belucio,13,7.602339181286549
1,Marina Silva,Brasitânia,3,1.7543859649122806
1,Marina Silva,Cafaro,9,5.263157894736842
1,Marina Silva,Coronel,14,8.187134502923977
1,Marina Silva,EELAS,5,2.923976608187134
1,Marina Silva,ETEC,10,5.847953216374268
1,Marina Silva,Ferrari,9,5.263157894736842
1,Marina Silva,Ivonete,18,10.526315789473683
1,Marina Silva,JAP,16,9.35672514619883
1,Marina Silva,Koei Arakaki,4,2.3391812865497075
1,Marina Silva,Pedro Malavazzi,7,4.093567251461988
1,Marina Silva,Saturnino,17,9.941520467836257
1,Marina Silva,Sesi,6,3.508771929824561
1,Marina Silva,Tanuri,7,4.093567251461988
1,Nulo,Andreo,142,6.701274185936762
1,Nulo,Barbosa Lima,123,5.804624823029731
1,Nulo,Barozi,174,8.21142048135913
1,Nulo,Belucio,170,8.022652194431336
1,Nulo,Brasitânia,30,1.4157621519584709
1,Nulo,Cafaro,114,5.379896177442189
1,Nulo,Coronel,94,4.436054742803209
1,Nulo,EELAS,92,4.341670599339311
1,Nulo,ETEC,87,4.105710240679565
1,Nulo,Ferrari,113,5.33270410571024
1,Nulo,Ivonete,151,7.126002831524304
1,Nulo,JAP,140,6.606890042472864
1,Nulo,Koei Arakaki,60,2.8315243039169418
1,Nulo,Pedro Malavazzi,149,7.031618688060407
1,Nulo,Saturnino,192,9.060877772534216
1,Nulo,Sesi,113,5.33270410571024
1,Nulo,Tanuri,175,8.258612553091082
1,Vera,Andreo,1,7.142857142857142
1,Vera,Belucio,5,35.714285714285715
1,Vera,Cafaro,2,14.285714285714285
1,Vera,Ivonete,2,14.285714285714285
1,Vera,JAP,1,7.142857142857142
1,Vera,Pedro Malavazzi,2,14.285714285714285
1,Vera,Tanuri,1,7.142857142857142
2,Branco,Andreo,77,7.461240310077518
2,Branco,Barbosa Lima,69,6.686046511627906
2,Branco,Barozi,89,8.624031007751938
2,Branco,Belucio,71,6.87984496124031
2,Branco,Brasitânia,25,2.422480620155039
2,Branco,Cafaro,66,6.395348837209303
2,Branco,Coronel,58,5.62015503875969
2,Branco,EELAS,28,2.7131782945736433
2,Branco,ETEC,48,4.651162790697675
2,Branco,Ferrari,56,5.426356589147287
2,Branco,Ivonete,74,7.170542635658915
2,Branco,JAP,86,8.333333333333332
2,Branco,Koei Arakaki,29,2.810077519379845
2,Branco,Pedro Malavazzi,52,5.038759689922481
2,Branco,Saturnino,90,8.720930232558139
2,Branco,Sesi,55,5.329457364341085
2,Branco,Tanuri,59,5.717054263565891
2,Fernando Haddad,Andreo,695,7.382621627363502
2,Fernando Haddad,Barbosa Lima,631,6.702783089016359
2,Fernando Haddad,Barozi,748,7.945612916932229
2,Fernando Haddad,Belucio,630,6.692160611854685
2,Fernando Haddad,Brasitânia,200,2.1244954323348204
2,Fernando Haddad,Cafaro,581,6.1716592309326535
2,Fernando Haddad,Coronel,511,5.428085829615466
2,Fernando Haddad,EELAS,298,3.1654981941788827
2,Fernando Haddad,ETEC,453,4.811982154238368
2,Fernando Haddad,Ferrari,428,4.546420225196516
2,Fernando Haddad,Ivonete,650,6.904610155088167
2,Fernando Haddad,JAP,780,8.2855321861058
2,Fernando Haddad,Koei Arakaki,240,2.5493945188017846
2,Fernando Haddad,Pedro Malavazzi,602,6.394731251327809
2,Fernando Haddad,Saturnino,805,8.551094115147652
2,Fernando Haddad,Sesi,523,5.555555555555555
2,Fernando Haddad,Tanuri,639,6.787762906309751
2,Jair Bolsonaro,Andreo,1399,5.67315490673155
2,Jair Bolsonaro,Barbosa Lima,962,3.9010543390105434
2,Jair Bolsonaro,Barozi,1733,7.0275750202757505
2,Jair Bolsonaro,Belucio,1289,5.2270884022708834
2,Jair Bolsonaro,Brasitânia,302,1.224655312246553
2,Jair Bolsonaro,Cafaro,1933,7.83860502838605
2,Jair Bolsonaro,Coronel,2190,8.880778588807786
2,Jair Bolsonaro,EELAS,1453,5.892133008921331
2,Jair Bolsonaro,ETEC,1355,5.494728304947283
2,Jair Bolsonaro,Ferrari,1467,5.9489051094890515
2,Jair Bolsonaro,Ivonete,1897,7.692619626926196
2,Jair Bolsonaro,JAP,2310,9.367396593673966
2,Jair Bolsonaro,Koei Arakaki,410,1.662611516626115
2,Jair Bolsonaro,Pedro Malavazzi,1173,4.75669099756691
2,Jair Bolsonaro,Saturnino,1847,7.489862124898622
2,Jair Bolsonaro,Sesi,1724,6.991078669910787
2,Jair Bolsonaro,Tanuri,1216,4.931062449310625
2,Nulo,Andreo,229,7.351524879614766
2,Nulo,Barbosa Lima,170,5.457463884430177
2,Nulo,Barozi,262,8.41091492776886
2,Nulo,Belucio,223,7.158908507223114
2,Nulo,Brasitânia,49,1.5730337078651686
2,Nulo,Cafaro,182,5.842696629213483
2,Nulo,Coronel,149,4.7833065810593896
2,Nulo,EELAS,122,3.9165329052969504
2,Nulo,ETEC,121,3.8844301765650084
2,Nulo,Ferrari,156,5.008025682182986
2,Nulo,Ivonete,234,7.512038523274478
2,Nulo,JAP,249,7.993579454253612
2,Nulo,Koei Arakaki,89,2.857142857142857
2,Nulo,Pedro Malavazzi,182,5.842696629213483
2,Nulo,Saturnino,314,10.080256821829856
2,Nulo,Sesi,158,5.07223113964687
2,Nulo,Tanuri,226,7.255216693418941
